Job Title,Company Name,Exp,Number of opening,Location,Link,Job Category
Req.  for Data Scientist-Reputed Data Analytics Industr ...,Seven Consultancy,2,1,Hyderabad,https://www.shine.com/jobs/req-jobs-for-data-scientist-reputed-data-analytics-industry-permanent/seven-consultancy/12494271,Data Analyst
 for Chief Data Scientist-Reputed IT Industry,Seven Consultancy,4,1,Chennai,https://www.shine.com/jobs/jobs-for-chief-data-scientist-reputed-it-industry-permanent/seven-consultancy/12495421,Data Scientist
Clinical Data Analyst,QUISCON BIOTECH,0,15,"Bangalore+4Chennai, Hyderabad, Pune, Mumbai City",https://www.shine.com/jobs/clinical-data-analyst-work-from-home/quiscon-biotech/12506812,Data Analyst
Data Scientist - Senior,Cummins India Ltd,4,1,Pune,https://www.shine.com/jobs/data-scientist-senior-permanent/cummins-india-ltd/12493642,Data Scientist
Lead Data Engineer,Standard Chartered Bank Ltd,1,1,Mumbai City,https://www.shine.com/jobs/lead-data-engineer-permanent/standard-chartered-bank-ltd/12492462,Data Engineer
Reference Data Analyst - Team Leader,JPMorgan,3,1,Mumbai City,https://www.shine.com/jobs/reference-data-analyst-team-leader-permanent/jpmorgan/12512994,Data Analyst
Urgent requirement for Lead Data Engineer - Data Wareho ...,Huquo,3,1,Hyderabad,https://www.shine.com/jobs/urgent-requirement-for-lead-data-engineer-data-warehousing-permanent/huquo/12497215,Data Engineer
Req.  For Data Scientist -Reputed Data Analytics Indust ...,Seven Consultancy,2,1,Delhi,https://www.shine.com/jobs/req-jobs-for-data-scientist-reputed-data-analytics-industry-permanent/seven-consultancy/12493032,Data Analyst
Require now  Data Scientist,Seven Consultancy,3,1,Chennai,https://www.shine.com/jobs/require-now-data-scientist-permanent/seven-consultancy/12496405,Data Scientist
Looking for Python Developer - Numpy/Pandas,Employee Forums,0,1,Not Defined,https://www.shine.com/jobs/looking-for-python-developer-numpypandas-permanent/employee-forums/12498906,Python Developer
"Trade Support, Reference Data - Analyst",JPMorgan,2,1,Mumbai City,https://www.shine.com/jobs/trade-support-reference-data-analyst-permanent/jpmorgan/12512293,Data Analyst
SENIOR DATA SCIENTIST ( DEEP LEARNING/ NLP),Augusta Infotech,1,1,Mumbai City,https://www.shine.com/jobs/senior-data-scientist-deep-learning-nlp-permanent/augusta-infotech/12500814,Data Scientist
Data Engineer-Manager-P&T Labs,PricewaterhouseCoopers (PWC),3,1,Bangalore,https://www.shine.com/jobs/data-engineer-manager-pt-labs-permanent/pricewaterhousecoopers-pwc/12499561,Data Engineer
PL/SQL & Python Developer,Bnp Paribas,2,1,Mumbai City,https://www.shine.com/jobs/plsql-python-developer-permanent/bnp-paribas/12503571,Python Developer
Data Science Manager,ARTAKAIN HR SOLUTIONS,5,1,Bangalore,https://www.shine.com/jobs/data-science-manager-permanent/artakain-hr-solutions/12511768,Other
Req. now  Data Scientist,Seven Consultancy,3,1,Delhi,https://www.shine.com/jobs/req-now-data-scientist-permanent/seven-consultancy/12493691,Data Scientist
Python Developer hiring,Squircle IT Consulting Services Pvt...,6,1,Mumbai City,https://www.shine.com/jobs/python-developer-hiring-permanent/squircle-it-consulting-services-pvt-ltd/12503360,Python Developer
Vacant of Python Developer,VEGA Intellisoft Private Limited,3,1,Mumbai City,https://www.shine.com/jobs/vacant-of-python-developer-permanent/vega-intellisoft-private-limited/12503188,Python Developer
Senior Data Analyst II,AXA XL,2,1,Gurugram,https://www.shine.com/jobs/senior-data-analyst-ii-permanent/axa-xl/12499647,Data Analyst
Vacant of Python Developers,Squircle IT Consulting Services Pvt...,5,1,Hyderabad,https://www.shine.com/jobs/vacant-of-python-developers-permanent/squircle-it-consulting-services-pvt-ltd/12503165,Python Developer
Recruitment of Senior Data Analyst II,AXA XL,2,1,Bangalore,https://www.shine.com/jobs/recruitment-of-senior-data-analyst-ii-permanent/axa-xl/12499231,Data Analyst
Vacancy for Senior AI Data Scientist-Reputed IT Industr ...,Seven Consultancy,3,1,Chennai,https://www.shine.com/jobs/vacancy-for-senior-ai-data-scientist-reputed-it-industry-chennai-permanent/seven-consultancy/12497944,Data Scientist
Require  For Senior Data Engineer Manager -Reputed IT I ...,Seven Consultancy,4,1,Delhi,https://www.shine.com/jobs/require-for-senior-data-engineer-manager-reputed-it-industry-permanent/seven-consultancy/12500318,Data Engineer
Associate - Python Data Engineer - GDC,PricewaterhouseCoopers (PWC),4,1,Kolkata,https://www.shine.com/jobs/associate-python-data-engineer-gdc-permanent/pricewaterhousecoopers-pwc/12499787,Data Engineer
Req.  For  Data Scientist-Reputed IT Industry-Mumbai,Seven Consultancy,2,1,Mumbai City,https://www.shine.com/jobs/req-jobs-for-data-scientist-reputed-it-industry-mumbai-permanent/seven-consultancy/12493030,Data Scientist
Post vacant for- Chief Data Scientist-Reputed IT Indust ...,Seven Consultancy,1,1,Bangalore,https://www.shine.com/jobs/post-vacant-for-chief-data-scientist-reputed-it-industry-permanent/seven-consultancy/12492720,Data Scientist
"-Data Scientist-reputed IT company-Hyderabad, Telangana ...",Seven Consultancy,2,1,Hyderabad,https://www.shine.com/jobs/job-data-scientist-reputed-it-company-hyderabad-telangana-india-upto-7-lpa-chitra-permanent/seven-consultancy/12490916,Data Scientist
Data Scientist,QUISCON BIOTECH,0,10,Not Defined,https://www.shine.com/jobs/data-scientist-permanent/quiscon-biotech/12484543,Data Scientist
Data Domain Architect Analyst,JPMorgan,2,1,Bangalore,https://www.shine.com/jobs/data-domain-architect-analyst-permanent/jpmorgan/12515949,Data Analyst
 for AI Data Scientist-Reputed IT Industry,Seven Consultancy,4,1,Mumbai City,https://www.shine.com/jobs/jobs-for-ai-data-scientist-reputed-it-industry-permanent/seven-consultancy/12495438,Data Scientist
Data Scientist,Acuity Knowledge Partners,4,1,Bangalore,https://www.shine.com/jobs/data-scientist-permanent/acuity-knowledge-partners/12482378,Data Scientist
 for Python Developer-Reputed IT Industry-Hyderabad,Seven Consultancy,3,1,Hyderabad,https://www.shine.com/jobs/jobs-for-python-developer-reputed-it-industry-hyderabad-permanent/seven-consultancy/12497611,Python Developer
Require now Junior AI Data Scientist,Seven Consultancy,1,1,Mumbai City,https://www.shine.com/jobs/require-now-junior-ai-data-scientist-permanent/seven-consultancy/12496515,Data Scientist
Data Scientist,Iris Software Pvt Ltd,5,1,Noida,https://www.shine.com/jobs/data-scientist-permanent/iris-software-pvt-ltd/12490794,Data Scientist
Vacant for Data Engineer - Spark/Hive,Huquo,3,1,Bangalore+1Chennai,https://www.shine.com/jobs/vacant-for-data-engineer-sparkhive-permanent/huquo/12504638,Data Engineer
Data Engineer - ETL Tools,Huquo,2,1,Hyderabad,https://www.shine.com/jobs/data-engineer-etl-tools-permanent/huquo/12498723,Data Engineer
Data Analyst Required In Singapore- Overseas Only,Cloud Visa Immigration LLP,2,70,Singapore,https://www.shine.com/jobs/data-analyst-required-in-singapore-overseas-only-permanent/cloud-visa-immigration-llp/12497456,Data Analyst
Python Developer,WLC TECHNOLOGY LLP Hiring For WLC T...,4,4,Pune+1Mumbai City,https://www.shine.com/jobs/python-developer-work-from-home/wlc-technology-llp/12494074,Python Developer
Senior Data Analyst -Reputed IT Industry,Seven Consultancy,5,1,Bangalore,https://www.shine.com/jobs/senior-data-analyst-reputed-it-industry-permanent/seven-consultancy/12501053,Data Analyst
 For Senior Data Analyst,Seven Consultancy,5,1,Delhi,https://www.shine.com/jobs/jobs-for-senior-data-analyst-permanent/seven-consultancy/12500857,Data Analyst
Big Data Engineer,ProactiveHRD,6,1,Chennai,https://www.shine.com/jobs/big-data-engineer-permanent/proactivehrd/12513503,Data Engineer
Senior Python Developer,Bnp Paribas,5,1,Chennai,https://www.shine.com/jobs/senior-python-developer-permanent/bnp-paribas/12500223,Python Developer
